Galaxy,Inc_deg,D_Mpc,Rdisk_kpc,Rdisk_arcsec,Vflat_kms,outer_slope_ols,kappa_screening,screening_group
D631-7,59.0,7.72,0.7,18.702784974093262,57.7,0.483362819775646,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
DDO154,64.0,4.04,0.37,18.890606435643566,47.0,0.4276669720108098,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
DDO161,70.0,7.5,1.22,33.552440000000004,66.3,0.3745526813266936,eligible,Eligible for first-pass κ measurement
ESO116-G012,74.0,13.0,1.51,23.958473076923077,109.1,0.1005789535075871,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
ESO563-G021,83.0,60.8,5.45,18.489214638157897,314.6,0.0042350099103293,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
F563-1,25.0,48.9,3.52,14.847705521472394,109.9,0.1725514955061743,"face-on geometry (Inc < 30°); small apparent disk (Rdisk_app < 30"")",Excluded: face-on and too small
IC2574,75.0,3.91,2.78,146.6538874680307,66.4,0.6135379193103089,eligible,Eligible for first-pass κ measurement
IC4202,90.0,100.4,4.78,9.82018625498008,242.6,-0.0223627131726569,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
NGC0100,89.0,13.5,1.66,25.362955555555555,88.1,0.2288563605757729,"edge-on geometry (Inc > 75°); small apparent disk (Rdisk_app < 30"")",Excluded: edge-on and too small
NGC0247,74.0,3.7,3.74,208.4948918918919,104.9,0.1905534643789022,eligible,Eligible for first-pass κ measurement
NGC0289,46.0,20.8,6.74,66.83779326923077,163.0,0.0095546735330387,eligible,Eligible for first-pass κ measurement
NGC0300,42.0,2.08,1.75,173.54026442307693,93.3,0.1737426151506342,eligible,Eligible for first-pass κ measurement
NGC0891,90.0,9.91,2.55,53.07525227043391,216.1,-0.0872941811883934,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC1003,67.0,11.4,1.61,29.130407894736848,109.8,0.1300330612747103,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
NGC1090,64.0,37.0,3.53,19.678795945945943,164.4,-0.0593589619608166,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
NGC2403,63.0,3.16,1.39,90.7304905063291,131.2,0.1017237345368631,eligible,Eligible for first-pass κ measurement
NGC2683,80.0,9.81,2.18,45.836666666666666,154.0,-0.2084883659397517,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC2841,76.0,14.1,3.64,53.248553191489364,284.8,-0.0812248236824873,edge-on geometry (Inc > 75°),Excluded: edge-on geometry
NGC2903,66.0,6.6,2.33,72.81779545454546,184.6,-0.1130305480850379,eligible,Eligible for first-pass κ measurement
NGC2915,56.0,4.06,0.55,27.942302955665028,83.5,0.0951302447510109,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
NGC3109,70.0,1.33,1.56,241.93488721804513,66.2,0.4505057990697587,eligible,Eligible for first-pass κ measurement
NGC3198,73.0,13.8,3.14,46.93276086956522,150.1,-0.0163565567804401,eligible,Eligible for first-pass κ measurement
NGC3521,75.0,7.7,2.4,64.29038961038961,213.7,-0.0342092831837377,eligible,Eligible for first-pass κ measurement
NGC3726,53.0,18.0,3.4,38.961166666666664,168.0,0.0348941316502146,eligible,Eligible for first-pass κ measurement
NGC3741,70.0,3.21,0.2,12.851401869158877,50.1,0.3777662324251091,"small apparent disk (Rdisk_app < 30"")",Excluded: too small on sky
