Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
D631-7,1,0.7,57.7,59.0,7.72,0.196,0.29,16,0,13,13,1.75,0.483362819775646,0.02828604064845002,0.49891432639621386,1.3827227809682374,1.3790734034930257,0.483362819775646,0.017805121460049603,0.981681172838464,2.869382853702075e-09,True,,
DDO154,2,0.37,47.0,64.0,4.04,0.053,0.275,12,0,11,11,0.925,0.4276669720108098,0.044320148382705066,0.368558026060496,1.3884839429547502,1.4431287197436447,0.4276669720108098,0.032939618421794686,0.9549147117079497,4.811684522340408e-06,True,,
DDO161,1,1.22,66.3,70.0,7.5,0.548,1.378,31,0,22,22,3.05,0.3745526813266936,0.021297790522934446,0.27086114918145254,1.4322600416325904,1.5317827104802,0.3745526813266936,0.016785193774721912,0.9691553333356226,1.2386186684864065e-13,True,,
ESO116-G012,1,1.51,109.1,74.0,13.0,4.292,1.083,15,0,8,8,3.775,0.10057895350758715,0.01171603024045201,0.07921541468490524,1.950009581348151,1.9692976876612909,0.10057895350758715,0.003662202145523829,0.961621240525556,0.00013728635981669684,True,,
ESO563-G021,1,5.45,314.6,83.0,60.8,311.177,24.298,30,0,17,17,13.625,0.004235009910329337,0.009467489169023076,0.005823814511366293,2.4924292088345545,2.491163518921929,0.004235009910329337,0.005079429716553463,0.1147351382227516,0.6610348499969474,True,,
F563-1,1,3.52,109.9,25.0,48.9,1.903,3.2,17,0,9,9,8.8,0.17255149550617432,0.05078009208430406,0.1392501283329634,1.8282472198009236,1.8706123215146362,0.17255149550617432,0.01750299931605786,0.789031282748063,0.011473462992304702,True,,
IC2574,2,2.78,66.4,75.0,3.91,1.016,1.036,34,0,12,12,6.949999999999999,0.6135379193103089,0.09878746890755855,0.6851949632592734,1.2096507998793924,1.1497147217170602,0.6135379193103089,0.016210073760709574,0.8911356143660062,0.00010004768374211065,True,,
IC4202,1,4.78,242.6,90.0,100.4,179.749,12.326,32,0,17,17,11.950000000000001,-0.022362713172656975,0.02109645963976659,-0.014098590521738227,2.4152322677731033,2.4069498714791107,0.022362713172656975,0.008106247782300395,-0.26398744703167853,0.3059056924882,True,,
NGC0100,1,1.66,88.1,89.0,13.5,3.232,1.99,21,0,12,12,4.1499999999999995,0.22885636057577297,0.013671085552746277,0.21427997892056203,1.729916352438512,1.7422454170939103,0.22885636057577297,0.005098522022977806,0.9826214823503684,1.2125325879017046e-08,True,,
NGC0247,2,3.74,104.9,74.0,3.7,7.332,1.746,26,0,10,10,9.350000000000001,0.1905534643789022,0.02384446338275238,0.21339755326435436,1.812150427979672,1.7867706825833998,0.1905534643789022,0.0039963265205634774,0.9426978195692405,4.4002948696041216e-05,True,,
NGC0289,2,6.74,163.0,46.0,20.8,72.065,27.469,28,0,18,18,16.85,0.009554673533038746,0.03480439190488511,0.04176492747556288,2.215563927200064,2.1711410081854923,0.009554673533038746,0.023684121653263817,0.06847016828554345,0.7871942509729883,True,,
NGC0300,2,1.75,93.3,42.0,2.08,2.922,0.936,25,0,17,17,4.375,0.17374261515063422,0.021596185418790843,0.22384109525066534,1.795678615112848,1.7547550565537293,0.17374261515063422,0.010774973212318401,0.9010263683072889,8.034859490265053e-07,True,,
NGC0891,1,2.55,216.1,90.0,9.91,138.34,4.462,18,0,12,12,6.375,-0.0872941811883934,0.017218117662230394,-0.07803483019215962,2.4356913125073962,2.4278346033130793,0.0872941811883934,0.00692025061054449,-0.84848020434554,0.00048489730476336773,True,,
NGC1003,1,1.61,109.8,67.0,11.4,6.82,5.88,36,0,32,32,4.025,0.13003306127471032,0.011391320431507571,0.13629218335051863,1.8588565809517417,1.8492741931767551,0.13003306127471032,0.014452658885223554,0.9015853626313592,1.9244783370646463e-12,True,,
NGC1090,1,3.53,164.4,64.0,37.0,72.045,8.783,24,0,17,17,8.825,-0.05935896196081668,0.011258728716934781,-0.06421390896637524,2.295971999933165,2.302272840382886,0.05935896196081668,0.006989847443507261,-0.8059193661156637,9.387331926981493e-05,True,,
NGC2403,1,1.39,131.2,63.0,3.16,10.041,3.199,73,0,40,40,3.4749999999999996,0.1017237345368631,0.005682269693102774,0.06381344606717329,2.004558118062888,2.0444458755810815,0.1017237345368631,0.008795788565151858,0.9455140772131115,4.104875287211269e-20,True,,
NGC2683,2,2.18,154.0,80.0,9.81,80.415,1.406,11,0,10,10,5.45,-0.20848836593975179,0.030532067223557106,-0.18709659708858614,2.500319337254141,2.482104985751126,0.20848836593975179,0.02200456371828817,-0.9238810704819326,0.00013388018222658187,True,,
NGC2841,1,3.64,284.8,76.0,14.1,188.121,9.775,50,0,33,33,9.1,-0.08122482368248735,0.006988492022837979,-0.09208705816386946,2.5869447294693875,2.599089934728106,0.08122482368248735,0.011098965957823746,-0.9018590815662957,7.862979864908772e-13,True,,
NGC2903,1,2.33,184.6,66.0,6.6,81.863,2.552,34,0,20,20,5.825,-0.11303054808503797,0.005899007372053761,-0.10608295605881177,2.4107580869047482,2.404464103014514,0.11303054808503797,0.00430291741291577,-0.9763523760390338,2.015935363038048e-13,True,,
NGC2915,2,0.55,83.5,56.0,4.06,0.641,0.508,30,0,26,26,1.375,0.09513024475101099,0.02358260786402145,0.054217909916721686,1.836246292888748,1.8704341352751848,0.09513024475101099,0.025850749820446165,0.6356567061494266,0.00048361550758588447,True,,
NGC3109,1,1.56,66.2,70.0,1.33,0.194,0.477,25,0,10,10,3.9000000000000004,0.45050579906975874,0.036754600383470976,0.4391777949953246,1.4721420122511897,1.4811634599847594,0.45050579906975874,0.006762278542288127,0.974393644718299,1.8237331469632285e-06,True,,
NGC3198,1,3.14,150.1,73.0,13.8,38.279,10.869,43,0,21,21,7.8500000000000005,-0.01635655678044017,0.00802874505065683,-0.02620104266096114,2.1994770386026783,2.2137231574473253,0.01635655678044017,0.008285365528389602,-0.42341389376114263,0.05579903674903238,True,,
NGC3521,1,2.4,213.7,75.0,7.7,84.836,4.154,41,0,9,9,6.0,-0.03420928318373773,0.006925918615727711,-0.03737988101898266,2.355190355968903,2.358103210966198,0.03420928318373773,0.0033931588882583678,-0.8815029596109507,0.001676446086167179,True,,
NGC3726,2,3.4,168.0,53.0,18.0,70.234,6.473,12,0,9,9,8.5,0.03489413165021462,0.03324137699604438,-0.01808605857276911,2.163401916941142,2.22267708969651,0.03489413165021462,0.018517103501547293,0.36879042575582316,0.3287309980021304,True,,
NGC3741,1,0.2,50.1,70.0,3.21,0.028,0.182,21,0,19,19,0.5,0.3777662324251091,0.016370824282997538,0.38423699444907755,1.404450274892876,1.4034722783980336,0.3777662324251091,0.020130373689068726,0.9844093598494061,2.8552169977137577e-14,True,,
NGC3769,2,3.38,118.6,70.0,18.0,18.679,5.529,12,0,8,8,8.45,-0.036581777299054125,0.021032881161268356,-0.05238894046004307,2.123107548696223,2.140702418923988,0.036581777299054125,0.012796167624442318,-0.5789503320821584,0.1326449057969012,True,,
NGC3917,1,2.63,135.9,79.0,18.0,21.966,1.888,17,0,10,10,6.574999999999999,0.05622494967693812,0.014198292011395549,0.06233428726991796,2.0754926883982114,2.069930543641431,0.05622494967693812,0.004395667244159312,0.8137460944749875,0.004177152595830243,True,,
NGC3992,1,4.96,241.0,56.0,23.7,226.932,16.599,9,0,8,8,12.4,-0.11742784920048312,0.030263638378122643,-0.117383551444366,2.5744511150693747,2.5773439401976335,0.11742784920048312,0.01339875595013826,-0.8456010024817852,0.0081691549868981,True,,
NGC4013,2,3.53,172.9,89.0,18.0,79.094,2.967,36,0,31,31,8.825,-0.057648908289251746,0.02352539093832416,-0.08157067131517026,2.317800078353937,2.350940070700475,0.057648908289251746,0.019788843539682358,-0.4141804410502283,0.020535279431850385,True,,
NGC4088,1,2.58,171.7,69.0,18.0,107.286,8.226,12,0,9,9,6.45,-0.06342542617075345,0.02162920216688434,-0.07279228908726265,2.3106116378389814,2.3201390030172195,0.06342542617075345,0.009332459832452907,-0.7424635039221104,0.021949275093417007,True,,
NGC4100,1,2.15,158.2,73.0,18.0,59.394,3.102,24,0,20,20,5.375,-0.16698630995564165,0.02080211556503104,-0.1449181900732098,2.4412443659136107,2.421276518865682,0.16698630995564165,0.015207521880178388,-0.8841130743458919,2.33428021525027e-07,True,,
NGC4157,1,2.32,184.7,82.0,18.0,105.62,8.226,17,0,14,14,5.8,-0.06184541739271942,0.012459698943346087,-0.07565646773428315,2.3490203857352148,2.3636383713904787,0.06184541739271942,0.008438514583990676,-0.8200417160409319,0.00032875996929972,True,,
NGC4183,1,2.79,110.6,82.0,18.0,10.838,3.506,23,0,16,16,6.975,-0.0006321861682223358,0.014938994383855798,-0.008421345983409823,2.0444839689281857,2.051552478518425,0.0006321861682223358,0.008313043919952573,-0.011309198665208025,0.9668429316036327,True,,
NGC4214,2,0.51,80.1,15.0,2.87,1.141,0.486,14,0,11,11,1.275,0.07645246111806202,0.01765700269604257,0.0895279483898643,1.8573096958853608,1.8526502085000232,0.07645246111806202,0.010047132566813251,0.8219788845107202,0.0019054748970009031,True,,
NGC4217,1,2.94,181.3,86.0,18.0,85.299,2.562,19,0,11,11,7.35,-0.11144718786549872,0.02054083339062088,-0.10941031225443879,2.3855943965498296,2.3845156772271783,0.11144718786549872,0.006634824419471533,-0.8751309316928179,0.0004187451754131785,True,,
NGC4559,1,2.1,121.2,67.0,9.0,19.377,5.811,32,0,24,24,5.25,0.09172786586460745,0.014235778388257432,0.09426538021454832,1.9751959039789375,1.9764887098883621,0.09172786586460745,0.010958833232175951,0.8084821736090912,1.7528110232208213e-06,True,,
NGC5033,1,5.16,194.2,66.0,15.7,110.509,11.314,22,0,14,14,12.9,-0.14858736260415986,0.026289838212165968,-0.127512327911426,2.531400649704872,2.5029307634973135,0.14858736260415986,0.013699371875422566,-0.8525987031606649,0.00010695857511388948,True,,
NGC5055,1,3.2,179.0,55.0,9.9,152.922,11.722,28,0,17,17,8.0,-0.109976838700355,0.007992329568393302,-0.12003516741868459,2.4319010161264103,2.4496699341704176,0.109976838700355,0.007413213697796967,-0.9625980572822378,6.518601040761112e-10,True,,
NGC5371,1,7.44,209.5,53.0,39.7,340.393,11.18,19,0,10,10,18.6,-0.20695752981979873,0.034082115814794076,-0.23596499508275487,2.6531068327459986,2.6949218738728224,0.20695752981979873,0.011537395811304096,-0.9064873831242585,0.0002984501715730139,True,,
