Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
F561-1,3,2.79,50.0,24.0,66.4,4.077,1.622,6,0,2,2,6.975,0.0,0.0,-5.484993412137877e-15,1.7024305364455252,1.7024305364455312,0.0,0.0,,1.0,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
F563-V1,3,3.79,0.0,60.0,54.0,1.54,0.61,6,0,0,0,9.475,,,,,,,,,,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
F567-2,3,3.08,0.0,20.0,79.0,2.134,2.449,5,0,1,1,7.7,,,,,,,,,,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
F574-2,3,3.76,0.0,30.0,89.1,2.877,1.701,5,0,1,1,9.399999999999999,,,,,,,,,,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
NGC1705,3,0.39,71.9,80.0,5.73,0.533,0.139,14,0,12,12,0.9750000000000001,-0.013591272648041386,0.0037950447256295205,-0.019841564368427773,1.863470715600603,1.8665980956391555,0.013591272648041386,0.0027734953447337576,-0.7496001479055769,0.005000709807700849,False,Q3_low_quality,Q3_low_quality
NGC2366,3,0.65,50.2,68.0,3.27,0.236,0.647,26,0,19,19,1.625,0.19717240376264866,0.038971233554739734,0.2629163610791379,1.57192300862082,1.5452399249300164,0.19717240376264866,0.02595583061859794,0.7751897080591885,9.678294968312008e-05,False,Q3_low_quality,Q3_low_quality
NGC4389,3,2.79,0.0,50.0,18.0,21.328,0.539,6,0,0,0,6.975,,,,,,,,,,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
PGC51017,3,0.53,18.6,66.0,13.6,0.155,0.201,6,0,4,4,1.3250000000000002,-0.07529036709119485,0.018040136960240684,-0.07995300907685043,1.3009345358444206,1.30236083722939,0.07529036709119485,0.0037684028455417214,-0.9471024066156517,0.05289759338434832,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
UGC02455,3,0.99,0.0,51.0,6.92,3.649,0.803,8,0,4,4,2.475,0.9705429923141965,0.09541085543425373,0.993778681919824,1.1926784111230528,1.1810088554365716,0.9705429923141965,0.011840296485601634,0.9904736736774006,0.009526326322599423,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
UGC04305,3,1.16,34.5,40.0,3.45,0.736,0.69,22,0,11,11,2.9,0.13124686539080938,0.06810440041719841,0.13166762507396873,1.441491671058461,1.442516891434118,0.13124686539080938,0.017740742837431774,0.540473943090581,0.08606587249210805,False,Q3_low_quality,Q3_low_quality
UGC06973,3,1.07,174.2,71.0,18.0,53.87,1.753,9,0,7,7,2.6750000000000003,0.07366545602426977,0.013972502015109757,0.06388045851100693,2.18536692898974,2.1918673946988365,0.07366545602426977,0.0039940494115203165,0.9206201822396926,0.003265925102280565,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
UGCA281,3,1.72,0.0,67.0,5.68,0.194,0.062,7,0,0,0,4.3,,,,,,,,,,False,Q3_low_quality,Q3_low_quality|insufficient_outer_points
CamB,2,0.47,0.0,65.0,3.36,0.075,0.012,9,0,3,3,1.1749999999999998,0.8170110994450813,0.056018769726121055,0.8267699769433187,1.0939939604097761,1.0923271318853012,0.8170110994450813,0.004663959771385697,0.9976576422473622,0.04358193846706293,False,insufficient_outer_points,insufficient_outer_points
D512-2,2,1.24,0.0,56.0,15.2,0.325,0.081,4,0,1,1,3.1,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
D564-8,2,0.61,0.0,63.0,8.79,0.033,0.029,6,0,4,4,1.525,0.3437520797606868,0.021434603474177517,0.34341553717241724,1.23438707779989,1.234687492173895,0.3437520797606868,0.003957339102462636,0.9961344051426887,0.0038655948573113044,False,insufficient_outer_points,insufficient_outer_points
DDO064,1,0.69,46.1,60.0,6.8,0.157,0.211,14,0,5,5,1.7249999999999999,0.027555362826037308,0.00850782760194496,0.02095367438472289,1.657169593345665,1.659347639209556,0.027555362826037308,0.0011028553442328402,0.8818235734731551,0.047893647865150386,False,insufficient_outer_points,insufficient_outer_points
DDO168,2,1.02,53.4,63.0,4.25,0.191,0.413,10,0,4,4,2.55,-0.0313637713623202,0.12464117708650163,0.015411752327517337,1.7466158799211335,1.7215441124470545,0.0313637713623202,0.011686987858811277,-0.1751796109910979,0.8248203890089021,False,insufficient_outer_points,insufficient_outer_points
DDO170,2,1.95,60.0,66.0,15.4,0.543,0.735,8,0,5,5,4.875,0.15055576944314186,0.02247258710651487,0.15478688286126618,1.6268129318621176,1.623174027762503,0.15055576944314186,0.004428651488388943,0.9681674448216044,0.006785103503025063,False,insufficient_outer_points,insufficient_outer_points
ESO079-G014,1,5.08,175.0,79.0,28.7,51.733,3.14,15,0,3,3,12.7,0.07732746168198888,0.011273145408398622,0.07675680938287432,2.1562693893167877,2.156916592195477,0.07732746168198888,0.0005424496761996616,0.9895398800875498,0.09216005915491664,False,insufficient_outer_points,insufficient_outer_points
ESO444-G084,2,0.46,0.0,32.0,4.83,0.071,0.135,7,0,5,5,1.1500000000000001,0.2326366710997263,0.03772271501157629,0.27558393377884277,1.6636278369632802,1.6530100510240462,0.2326366710997263,0.013928684902704736,0.9627494666039689,0.008582048517158936,False,insufficient_outer_points,insufficient_outer_points
F563-V2,1,2.43,116.6,29.0,59.7,2.986,2.169,10,0,4,4,6.075,0.059801638858166875,0.006607361628677669,0.06776022907493887,2.011353971755941,2.0038959093784423,0.059801638858166875,0.000548452501308075,0.9880114935788471,0.011988506421152898,False,insufficient_outer_points,insufficient_outer_points
F565-V2,2,2.17,0.0,60.0,51.8,0.559,0.699,7,0,3,3,5.425,0.3655114241942569,0.0015535477144681762,0.3658274175676874,1.574311209320899,1.5740095632013424,0.3655114241942569,0.00011339809148869208,0.9999909674286299,0.0027058339938855866,False,insufficient_outer_points,insufficient_outer_points
F568-1,1,5.18,0.0,26.0,90.7,6.252,4.498,12,0,1,1,12.95,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
F568-3,1,4.99,0.0,40.0,82.4,8.346,3.195,18,0,3,3,12.475000000000001,0.46348396710880574,0.1400753250100404,0.4634839671088034,1.5021142030174148,1.5021142030174177,0.46348396710880574,0.007568263898381694,0.9572387323902022,0.18684447725928074,False,insufficient_outer_points,insufficient_outer_points
F568-V1,1,2.85,112.3,40.0,80.6,3.825,2.491,15,0,6,6,7.125,0.05920054927914698,0.02143231878387457,0.05711904034702068,1.993333427920237,1.9963278650170746,0.05920054927914698,0.005798128808507147,0.8099728347196558,0.05073451410646778,False,insufficient_outer_points,insufficient_outer_points
