Galaxy,R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vdisk_kms,Vbul_kms,Vbar_kms,gobs_km2s2_per_kpc,gbar_km2s2_per_kpc,log10_gobs,log10_gbar,is_outer
CamB,0.16,1.99,1.5,1.86,3.75,0.0,4.185940754478018,24.750625,109.513125,1.3935861701634884,2.039466171902035,False
CamB,0.41,4.84,1.5,4.24,9.47,0.0,10.375861410022784,57.135609756097566,262.5817073170732,1.7569068665690895,2.419264467800793,False
CamB,0.57,6.79,1.5,5.61,11.76,0.0,13.029570215475259,80.8843859649123,297.8415789473685,1.9078646928885121,2.4739853255414928,False
CamB,0.73,8.87,1.5,6.77,13.72,0.0,15.299388876683931,107.77657534246575,320.64561643835617,2.032524379542997,2.5060253070330925,False
CamB,0.9,10.9,1.5,7.77,14.8,0.0,16.715648357153245,132.01111111111112,310.4587777777778,2.1206104864419224,2.4920039434107357,False
CamB,1.06,12.9,1.5,8.44,15.24,0.0,17.420998823259247,156.99056603773585,286.31245283018865,2.1958735553337276,2.4568402375703995,False
CamB,1.22,14.7,1.5,8.64,15.11,0.0,17.405795012006777,177.12295081967213,248.32926229508197,2.248274838821604,2.395027898388602,True
CamB,1.47,16.8,1.5,8.08,15.9,0.0,17.835257217096704,192.0,216.39210884353744,2.2833012287035497,2.3352414193356665,True
CamB,1.79,20.1,1.5,6.91,14.91,0.0,16.433386747715762,225.70391061452517,150.86938547486034,2.353539083861085,2.1786011213645127,True
D512-2,0.96,22.9,2.71,4.08,14.85,0.0,15.400288958328021,546.2604166666666,247.05093749999997,2.7373997316402074,2.3927865062736213,False
D512-2,1.92,33.5,2.71,6.24,21.2,0.0,22.099266956168478,584.5052083333334,254.36333333333334,2.7667883853701407,2.4054545076104734,False
D512-2,2.88,37.2,4.19,7.45,20.56,0.0,21.86815264259878,480.50000000000006,166.04725694444443,2.681693392004564,2.220231705566857,False
D512-2,3.83,35.9,5.98,8.09,20.08,0.0,21.64842950423887,336.50391644908615,122.36409921671016,2.5269901231880154,2.0876540174902924,True
D564-8,0.51,8.54,1.53,3.47,6.36,0.0,7.245032781154272,143.00313725490193,102.92254901960786,2.1553455652800735,2.01251053357641,False
D564-8,1.02,15.1,1.41,5.33,8.66,0.0,10.168800322555262,223.5392156862745,101.37696078431372,2.3493537228244215,2.0059392672149943,False
D564-8,1.53,19.8,1.8,6.34,9.09,0.0,11.082585438425458,256.2352941176471,80.27692810457516,2.4086389497054634,1.9045907453207134,True
D564-8,2.04,21.9,1.82,6.86,8.75,0.0,11.118547567016117,235.10294117647055,60.59906862745098,2.3712580622543378,1.7824659493632002,True
D564-8,2.56,24.0,1.89,7.05,8.17,0.0,10.791264986089443,225.0,45.488828125,2.3521825181113627,1.657904748757818,True
D564-8,3.07,25.0,2.05,7.04,7.65,0.0,10.39635032114636,203.5830618892508,35.20654723127036,2.308741641866889,1.5466234351260097,True
D631-7,0.45,8.41,1.58,8.4,9.99,0.0,13.052206709978202,157.17355555555554,378.578,2.196379477820481,2.5781553725537885,False
D631-7,0.9,17.8,2.22,13.51,15.52,0.0,20.57645499108143,352.0444444444445,470.4338888888889,2.5465974951784633,2.672498599690774,False
D631-7,1.35,26.0,2.35,16.7,20.76,0.0,26.643340631384795,500.7407407407407,525.8278518518518,2.69961292744663,2.7208435859263322,False
D631-7,1.8,30.9,2.22,18.72,21.37,0.0,28.40977472631559,530.4499999999999,448.3973888888888,2.724644453746363,2.6516630749433436,True
D631-7,2.25,34.7,1.82,19.9,19.92,0.0,28.156995578363823,535.1511111111112,352.3628444444444,2.728476431470385,2.546990107164843,True
D631-7,2.69,38.8,1.81,20.61,18.76,0.0,27.869512015821158,559.6431226765799,288.7396654275093,2.7479111711860065,2.4605064489066897,True
D631-7,3.14,42.5,1.57,20.73,17.36,0.0,27.03890715247197,575.2388535031847,232.83519108280254,2.759848212027408,2.3670486209007224,True
D631-7,3.59,45.6,1.59,20.61,16.32,0.0,26.289056658617476,579.2089136490251,192.5110027855153,2.7628352367505506,2.2844555562470044,True
D631-7,4.04,48.8,1.83,20.38,15.37,0.0,25.52609057415569,589.4653465346533,161.28249999999997,2.770458278894816,2.2075872467085724,True
D631-7,4.49,51.8,1.91,19.9,14.49,0.0,24.616459940454476,597.6035634743874,134.95993318485523,2.7764131784871426,2.1302048545732455,True
D631-7,4.94,54.8,2.19,19.43,13.72,0.0,23.785779364990336,607.902834008097,114.52698380566802,2.7838341680450913,2.058907823245702,True
D631-7,5.39,56.6,2.73,18.84,13.04,0.0,22.912599154177162,594.352504638219,97.40022263450837,2.774044097189804,1.9885599495770545,True
D631-7,5.84,58.4,3.27,18.25,12.45,0.0,22.092193191261025,584.0,83.57277397260273,2.7664128471123997,1.9220648176392374,True
D631-7,6.29,58.5,3.95,17.65,11.93,0.0,21.303694515271285,544.0779014308426,72.15379968203496,2.735661086719092,1.8582592063579957,True
D631-7,6.74,57.7,4.07,17.06,11.48,0.0,20.562927807099843,493.95994065281906,62.735014836795244,2.693691729776143,1.79751000503929,True
D631-7,7.19,57.3,3.94,16.47,11.08,0.0,19.850120906432785,456.6467315716272,54.80212795549373,2.659580353551897,1.7387974223782738,True
DDO064,0.1,6.29,4.62,-1.13,1.96,0.0,2.262410219213129,395.641,51.18499999999999,2.5973012908905377,1.7091427076227974,False
DDO064,0.3,13.9,4.62,-2.45,6.31,0.0,6.768943787622999,644.0333333333334,152.72866666666664,2.8089083457885278,2.1839205603483918,False
DDO064,0.49,15.6,4.62,-0.64,9.67,0.0,9.691155761827378,496.65306122448976,191.6704081632653,2.6960531166804094,2.282555067685449,False
DDO064,0.69,18.4,4.62,2.49,13.92,0.0,14.140951170271396,490.66666666666663,289.80652173913046,2.6907865552818175,2.4621081545079893,False
DDO064,0.89,22.5,4.62,1.87,15.16,0.0,15.274897708331798,568.8202247191011,262.16011235955057,2.754975029577812,2.4185666145092077,False
DDO064,1.09,26.5,4.62,4.97,16.41,0.0,17.146107429967888,644.2660550458716,269.7146788990825,2.809065249932992,2.4309045830542777,False
DDO064,1.29,35.3,4.62,9.29,17.34,0.0,19.671799612643476,965.9612403100773,299.98426356589147,2.984959700476396,2.4770984733004995,False
DDO064,1.48,40.5,4.62,13.62,18.34,0.0,22.844255295369116,1108.277027027027,352.60810810810807,3.04464833103438,2.5472922945376766,False
DDO064,1.68,44.2,4.89,16.26,19.12,0.0,25.09904380648793,1162.8809523809525,374.97738095238105,3.065535256972321,2.5740050713974845,False
DDO064,1.88,46.3,4.62,18.16,19.54,0.0,26.6757792763398,1140.2606382978722,378.5091489361702,3.057004132772226,2.578076381285164,True
DDO064,2.08,46.4,4.62,19.64,19.1,0.0,27.395977806970134,1035.076923076923,360.8363461538462,3.0149726261470002,2.557310276483647,True
DDO064,2.27,46.3,4.62,20.17,18.77,0.0,27.55252801468497,944.3568281938324,334.4237004405287,2.9751361248427832,2.5242970480905518,True
DDO064,2.37,46.4,6.73,20.59,18.61,0.0,27.75392224533318,908.42194092827,325.01274261603373,2.9582876150996578,2.5119003884845412,True
DDO064,2.98,46.9,8.65,22.17,17.21,0.0,28.065868951450625,738.1241610738253,264.32651006711416,2.868129421353911,2.422140721960687,True
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,12.865601423952167,388.6530612244899,337.8034693877552,2.5895620927739595,2.5286641056500883,False
DDO154,0.99,21.6,0.8,7.46,14.55,0.0,16.350966332299752,471.2727272727273,270.0546464646465,2.673272307704312,2.4314516539986095,True
DDO154,1.48,28.9,0.7,10.87,12.95,0.0,16.907377088123397,564.331081081081,193.1482432432432,2.7515339701181385,2.2858907624252596,True
DDO154,1.97,34.3,0.5,13.32,11.54,0.0,17.623677255328978,597.2030456852791,157.66192893401015,2.776122013923948,2.197726835687933,True
DDO154,2.47,38.2,0.4,14.77,10.18,0.0,17.938375065763342,590.7854251012146,130.27744939271255,2.7714297725637516,2.114869247240748,True
DDO154,2.96,42.0,0.2,16.2,9.16,0.0,18.61036270468687,595.9459459459459,117.00864864864865,2.7752068697368624,2.0682179636398943,True
DDO154,3.46,44.6,0.2,17.6,8.37,0.0,19.48889170784219,574.9017341040462,109.77367052023122,2.759593618631507,2.0404981860248994,True
DDO154,3.95,46.3,0.2,17.91,7.77,0.0,19.522832786253126,542.706329113924,96.4913924050633,2.734564886409446,1.9844885734711033,True
DDO154,4.44,47.4,0.3,17.48,7.29,0.0,18.93923176900267,506.0270270270269,80.78704954954955,2.7041737132335504,1.9073417474089542,True
DDO154,4.94,48.2,0.6,16.93,6.89,0.0,18.278320491773854,470.2914979757085,67.63097165991901,2.672367127554052,1.830145627015905,True
DDO154,5.43,47.4,0.7,16.28,6.55,0.0,17.548244926487662,413.76795580110496,56.71103130755065,2.6167568537593233,1.753667545136569,True
DDO154,5.92,45.5,1.3,15.64,6.26,0.0,16.8462814888034,349.7043918918919,47.93871621621622,2.5437010865913052,1.6806863995833554,True
DDO161,0.6,16.0,3.53,6.82,12.59,0.0,14.318536936433135,426.6666666666667,341.7008333333333,2.6300887149282057,2.5336460379489734,False
DDO161,0.73,16.6,4.83,8.12,14.22,0.0,16.375066412079065,377.4794520547946,367.318904109589,2.5768933159596545,2.565043279935855,False
DDO161,0.85,18.6,2.5,9.3,15.27,0.0,17.879119105817267,407.0117647058824,376.07400000000007,2.60960696272154,2.575273309368034,False
DDO161,0.98,20.0,7.58,10.41,17.04,0.0,19.968217246414362,408.16326530612247,406.8670408163265,2.6108339156354674,2.609452510272675,False
DDO161,1.07,21.4,4.03,11.27,18.03,0.0,21.26249750146958,427.9999999999999,422.51757009345795,2.631443769013172,2.6258447734892063,False
DDO161,1.54,28.9,2.74,15.22,22.44,0.0,27.1146086086449,542.3441558441558,477.40389610389616,2.7342749646766324,2.678885958972199,False
DDO161,2.02,32.9,2.65,18.74,24.92,0.0,31.18002565746218,535.8465346534653,481.28415841584155,2.7290404264533246,2.682401567004991,False
DDO161,2.49,35.2,2.88,21.52,25.85,0.0,33.63529247680181,497.6064257028113,454.35056224899597,2.6968859798605256,2.6573910698188996,False
DDO161,2.96,37.6,3.05,23.28,26.01,0.0,34.90671138907245,477.6216216216217,411.64814189189195,2.679083978796384,2.614526159422216,False
DDO161,3.43,40.6,3.68,24.59,25.36,0.0,35.32418010371932,480.5714285714286,363.789416909621,2.6817579471116177,2.5608500607400906,True
DDO161,3.9,42.7,3.25,25.62,25.01,0.0,35.80341464162322,467.5102564102565,328.6883333333334,2.6697911430235486,2.5167842892386796,True
DDO161,4.37,45.5,2.99,26.35,24.48,0.0,35.96655251758222,473.74141876430207,296.0166819221968,2.675541356343803,2.4713161862704682,True
