Galaxy,Q,Rdisk_kpc,Vflat_kms,Inc_deg,D_Mpc,L36_1e9solLum,MHI_1e9solMass,N_total,N_invalid_total,N_outer_raw,N_outer_valid,outer_radius_threshold_kpc,outer_slope_ols,outer_slope_stderr,outer_slope_weighted,intercept_log10,weighted_intercept_log10,flatness_abs,stability_index_log10,rvalue_loglog,pvalue_loglog,accepted_main,exclusion_reason_primary,exclusion_reasons_all
CamB,2,0.47,0.0,65.0,3.36,0.075,0.012,9,0,3,3,1.1749999999999998,0.8170110994450813,0.056018769726121055,0.8267699769433187,1.0939939604097761,1.0923271318853012,0.8170110994450813,0.004663959771385697,0.9976576422473622,0.04358193846706293,False,insufficient_outer_points,insufficient_outer_points
D512-2,2,1.24,0.0,56.0,15.2,0.325,0.081,4,0,1,1,3.1,,,,,,,,,,False,insufficient_outer_points,insufficient_outer_points
D564-8,2,0.61,0.0,63.0,8.79,0.033,0.029,6,0,4,4,1.525,0.3437520797606868,0.021434603474177517,0.34341553717241724,1.23438707779989,1.234687492173895,0.3437520797606868,0.003957339102462636,0.9961344051426887,0.0038655948573113044,False,insufficient_outer_points,insufficient_outer_points
D631-7,1,0.7,57.7,59.0,7.72,0.196,0.29,16,0,13,13,1.75,0.483362819775646,0.02828604064845002,0.49891432639621386,1.3827227809682374,1.3790734034930257,0.483362819775646,0.017805121460049603,0.981681172838464,2.869382853702075e-09,True,,
DDO064,1,0.69,46.1,60.0,6.8,0.157,0.211,14,0,5,5,1.7249999999999999,0.027555362826037308,0.00850782760194496,0.02095367438472289,1.657169593345665,1.659347639209556,0.027555362826037308,0.0011028553442328402,0.8818235734731551,0.047893647865150386,False,insufficient_outer_points,insufficient_outer_points
DDO154,2,0.37,47.0,64.0,4.04,0.053,0.275,12,0,11,11,0.925,0.4276669720108098,0.044320148382705066,0.368558026060496,1.3884839429547502,1.4431287197436447,0.4276669720108098,0.032939618421794686,0.9549147117079497,4.811684522340408e-06,True,,
DDO161,1,1.22,66.3,70.0,7.5,0.548,1.378,31,0,22,22,3.05,0.3745526813266936,0.021297790522934446,0.27086114918145254,1.4322600416325904,1.5317827104802,0.3745526813266936,0.016785193774721912,0.9691553333356226,1.2386186684864065e-13,True,,
DDO168,2,1.02,53.4,63.0,4.25,0.191,0.413,10,0,4,4,2.55,-0.0313637713623202,0.12464117708650163,0.015411752327517337,1.7466158799211335,1.7215441124470545,0.0313637713623202,0.011686987858811277,-0.1751796109910979,0.8248203890089021,False,insufficient_outer_points,insufficient_outer_points
DDO170,2,1.95,60.0,66.0,15.4,0.543,0.735,8,0,5,5,4.875,0.15055576944314186,0.02247258710651487,0.15478688286126618,1.6268129318621176,1.623174027762503,0.15055576944314186,0.004428651488388943,0.9681674448216044,0.006785103503025063,False,insufficient_outer_points,insufficient_outer_points
ESO079-G014,1,5.08,175.0,79.0,28.7,51.733,3.14,15,0,3,3,12.7,0.07732746168198888,0.011273145408398622,0.07675680938287432,2.1562693893167877,2.156916592195477,0.07732746168198888,0.0005424496761996616,0.9895398800875498,0.09216005915491664,False,insufficient_outer_points,insufficient_outer_points
ESO116-G012,1,1.51,109.1,74.0,13.0,4.292,1.083,15,0,8,8,3.775,0.10057895350758715,0.01171603024045201,0.07921541468490524,1.950009581348151,1.9692976876612909,0.10057895350758715,0.003662202145523829,0.961621240525556,0.00013728635981669684,True,,
ESO444-G084,2,0.46,0.0,32.0,4.83,0.071,0.135,7,0,5,5,1.1500000000000001,0.2326366710997263,0.03772271501157629,0.27558393377884277,1.6636278369632802,1.6530100510240462,0.2326366710997263,0.013928684902704736,0.9627494666039689,0.008582048517158936,False,insufficient_outer_points,insufficient_outer_points
